faces		0.16	22.321	22.161	
body_parts		0.16	22.322	22.162	
scene		0.16	22.324	22.164	
tools		0.16	22.342	22.182	
animate		0.16	22.324	22.164	
inanimate_big		0.16	3.414	3.254	
inanimate_big		8.84	22.324	13.484	
inanimate_small		0.16	22.331	22.171	
social		0.16	1.84	1.68	
non_social		1.85	22.324	20.474	
biological		0.16	22.324	22.164	
non_biological		0.16	22.324	22.164	
civilisation		0.16	22.324	22.164	
closed		0.16	22.324	22.164	
near		4.554	22.323	17.769	
far		0.16	4.514	4.354	
inside		0.16	22.324	22.164	
camera_cut		0.838	0.852	0.014	
camera_cut		3.734	3.748	0.014	
camera_cut		17.788	17.802	0.014	
biological_motion		0.16	17.6	17.44	
biological_motion		18.81	21.33	2.52	
tool_use		0.871	1.714	0.843	
tool_use		3.442	4.885	1.443	
tool_use		6.542	7.614	1.072	
tool_use		9.471	10.042	0.571	
tool_use		10.828	12.028	1.2	
tool_use		14.1	16.742	2.642	
tool_use		17.9	19.6	1.7	
