faces		0.16	1.471	1.311	
faces		1.679	2.422	0.743	
faces		4.193	6.96	2.767	
faces		9.88	17.674	7.794	
faces		18.238	22.321	4.083	
body_parts		0.16	22.326	22.166	
scene		0.16	22.334	22.174	
tools		0.16	1.477	1.317	
tools		3.688	15.44	11.752	
tools		17.76	22.323	4.563	
animate		0.16	22.323	22.163	
inanimate_big		0.16	3.08	2.92	
inanimate_big		4.722	6.96	2.238	
inanimate_big		9.88	17.76	7.88	
inanimate_big		22.213	22.319	0.106	
inanimate_small		0.16	1.412	1.252	
inanimate_small		3.08	22.325	19.245	
social		0.16	1.474	1.314	
social		5.314	6.96	1.646	
social		14.388	15.986	1.598	
social		20.8	22.327	1.527	
non_social		1.48	5.3	3.82	
non_social		6.96	14.33	7.37	
non_social		16.01	20.78	4.77	
biological		0.16	22.328	22.168	
non_biological		0.16	22.323	22.163	
civilisation		0.16	22.324	22.164	
closed		3.08	22.32	19.24	
open		0.16	3.08	2.92	
near		3.1	4.14	1.04	
near		6.97	9.88	2.91	
near		14.07	20.806	6.736	
far		0.17	3.08	2.91	
far		4.156	6.96	2.804	
far		9.88	14.07	4.19	
far		20.806	22.332	1.526	
inside		3.08	22.33	19.25	
outside		0.16	3.08	2.92	
scene_change		3.08	3.09	0.01	
camera_cut		1.477	1.487	0.01	
camera_cut		3.08	3.09	0.01	
camera_cut		4.117	4.127	0.01	
camera_cut		6.96	6.97	0.01	
camera_cut		9.81	9.88	0.07	
camera_cut		14.12	14.13	0.01	
camera_cut		17.76	17.78	0.02	
camera_cut		20.79	20.8	0.01	
biological_motion		0.16	22.321	22.161	
