faces		0.16	22.321	22.161	
body_parts		0.16	22.322	22.162	
scene		0.16	22.324	22.164	
tools		0.16	21.248	21.088	
animate		0.16	22.324	22.164	
inanimate_big		0.16	4.632	4.472	
inanimate_small		0.16	22.331	22.171	
social		0.16	1.84	1.68	
non_social		1.85	22.324	20.474	
biological		0.16	22.324	22.164	
non_biological		0.16	22.324	22.164	
civilisation		0.16	22.324	22.164	
closed		0.16	22.324	22.164	
near		4.554	22.323	17.769	
far		0.16	4.514	4.354	
inside		0.16	22.324	22.164	
camera_cut		1.79	1.84	0.05	
camera_cut		4.474	4.514	0.04	
camera_cut		18.791	18.801	0.01	
biological_motion		0.16	17.6	17.44	
biological_motion		18.81	21.33	2.52	
