faces		0.28	0.79	0.51	
faces		2.789	7.546	4.757	
faces		8.463	11.793	3.33	
faces		14.086	18.76	4.674	
body_parts		0.16	0.76	0.6	
body_parts		3.877	11.783	7.906	
body_parts		12.223	18.76	6.537	
body_parts		21.648	22.32	0.672	
scene		0.16	0.79	0.63	
scene		1.496	2.396	0.9	
scene		3.884	11.797	7.913	
scene		14.086	20.68	6.594	
scene		21.631	22.332	0.701	
animate		0.16	0.78	0.62	
animate		3.88	11.779	7.899	
animate		12.072	18.76	6.688	
animate		21.58	22.328	0.748	
inanimate_big		3.87	8.432	4.562	
inanimate_small		0.16	3.88	3.72	
inanimate_small		4.42	21.39	16.97	
non_social		0.16	22.324	22.164	
non_biological		0.16	22.324	22.164	
civilisation		0.16	0.8	0.64	
civilisation		1.49	2.39	0.9	
civilisation		3.89	11.79	7.9	
civilisation		14.08	20.69	6.61	
civilisation		21.62	22.32	0.7	
open		0.16	0.8	0.64	
open		1.5	2.38	0.88	
open		3.88	11.8	7.92	
open		14.08	20.69	6.61	
open		21.62	22.324	0.704	
near		0.16	0.8	0.64	
near		1.51	2.38	0.87	
near		14.08	20.7	6.62	
near		21.63	22.32	0.69	
far		3.89	11.801	7.911	
outside		0.16	22.324	22.164	
camera_cut		0.796	0.806	0.01	
camera_cut		1.48	1.49	0.01	
camera_cut		2.399	2.409	0.01	
camera_cut		3.832	3.842	0.01	
camera_cut		8.438	8.448	0.01	
camera_cut		11.797	11.807	0.01	
camera_cut		14.072	14.082	0.01	
camera_cut		18.76	18.77	0.01	
camera_cut		19.67	19.76	0.09	
camera_cut		20.676	20.686	0.01	
camera_cut		21.391	21.401	0.01	
