,iteration,movies
0,0.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'pingu.mp4', 'ratatouille.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'beachsong.mp4']"
1,1.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'moana.mp4', 'up_russell.mp4', 'wallace_gromit.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'beachsong.mp4']"
2,2.0,"['rio_jungle_jig.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'beachsong.mp4']"
3,3.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'ratatouille.mp4', 'piper.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'beachsong.mp4']"
4,4.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'moana.mp4', 'cars.mp4', 'ratatouille.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4']"
5,5.0,"['bedtime.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'beachsong.mp4']"
6,6.0,"['moana.mp4', 'tayo_bus.mp4', 'ratatouille.mp4', 'piper.mp4', 'breakfast_smoothie.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'beachsong.mp4']"
7,7.0,"['moana.mp4', 'cars.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'supermarket.mp4', 'dalmations.mp4', 'beachsong.mp4']"
8,8.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'forest.mp4', 'ratatouille.mp4', 'supermarket.mp4', 'despicable_me.mp4', 'steamed_buns.mp4', 'beachsong.mp4']"
9,9.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'beachsong.mp4']"
10,10.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'pingu.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'beachsong.mp4']"
11,11.0,"['rio_jungle_jig.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'beachsong.mp4']"
12,12.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'moana.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'dalmations.mp4']"
13,13.0,"['bedtime.mp4', 'pingu.mp4', 'cars.mp4', 'ratatouille.mp4', 'supermarket.mp4', 'our_planet.mp4', 'dalmations.mp4', 'beachsong.mp4']"
14,14.0,"['up_russell.mp4', 'ratatouille.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'beachsong.mp4']"
15,15.0,"['walle.mp4', 'cars.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'beachsong.mp4']"
16,16.0,"['walle.mp4', 'bedtime.mp4', 'moana.mp4', 'cars.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'beachsong.mp4']"
17,17.0,"['walle.mp4', 'moana.mp4', 'cars.mp4', 'ratatouille.mp4', 'piper.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4']"
18,18.0,"['forest.mp4', 'cars.mp4', 'ratatouille.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'beachsong.mp4']"
19,19.0,"['walle.mp4', 'moana.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'breakfast_smoothie.mp4', 'up_kevin_nonsocial.mp4', 'funny_tools.mp4', 'beachsong.mp4']"
