,iteration,movies,zstat
0,0.0,"['forest.mp4', 'pingu.mp4', 'tayo_bus.mp4', 'up_russell.mp4', 'incredibles.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'our_planet.mp4', 'funny_tools.mp4']",14.173450205269917
1,1.0,"['walle.mp4', 'pingu.mp4', 'cars.mp4', 'up_russell.mp4', 'incredibles.mp4', 'piper.mp4', 'real_cars.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'funny_tools.mp4', 'hand_tools.mp4', 'despicable_me.mp4', 'cartoon_cars.mp4']",14.113115901327673
2,2.0,"['walle.mp4', 'bedtime.mp4', 'forest.mp4', 'moana.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'bathsong.mp4', 'wallace_gromit.mp4', 'up_kevin_nonsocial.mp4', 'our_planet.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'cartoon_cars.mp4']",12.434933748798413
3,3.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'forest.mp4', 'moana.mp4', 'cars.mp4', 'up_russell.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'supermarket.mp4', 'our_planet.mp4', 'despicable_me.mp4', 'dalmations.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4']",14.592368335193246
4,4.0,"['walle.mp4', 'pingu.mp4', 'cars.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'bathsong.mp4', 'wallace_gromit.mp4', 'our_planet.mp4', 'up_kevin_social.mp4', 'hand_tools.mp4', 'despicable_me.mp4', 'dalmations.mp4', 'mountain_song.mp4']",10.05379947739459
5,5.0,"['rio_jungle_jig.mp4', 'pingu.mp4', 'tayo_bus.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'piper.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'our_planet.mp4', 'funny_tools.mp4', 'hand_tools.mp4', 'dalmations.mp4', 'mountain_song.mp4']",15.492246459023695
6,6.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'moana.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'our_planet.mp4', 'steamed_buns.mp4', 'mountain_song.mp4']",13.653288122031126
7,7.0,"['walle.mp4', 'forest.mp4', 'cars.mp4', 'incredibles.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4', 'beachsong.mp4']",14.862673389603502
8,8.0,"['bedtime.mp4', 'pingu.mp4', 'tayo_bus.mp4', 'up_russell.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'our_planet.mp4', 'hand_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4']",11.823249718475505
9,9.0,"['walle.mp4', 'bedtime.mp4', 'forest.mp4', 'moana.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'our_planet.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'hand_tools.mp4', 'despicable_me.mp4', 'dalmations.mp4', 'steamed_buns.mp4']",13.198573098135999
10,10.0,"['bedtime.mp4', 'forest.mp4', 'pingu.mp4', 'moana.mp4', 'cars.mp4', 'tayo_bus.mp4', 'ratatouille.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'up_kevin_social.mp4', 'dalmations.mp4', 'cartoon_cars.mp4']",17.141155473271645
11,11.0,"['rio_jungle_jig.mp4', 'pingu.mp4', 'tayo_bus.mp4', 'incredibles.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'supermarket.mp4', 'our_planet.mp4', 'funny_tools.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4', 'beachsong.mp4']",10.812682922488545
12,12.0,"['walle.mp4', 'forest.mp4', 'pingu.mp4', 'cars.mp4', 'tayo_bus.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'piper.mp4', 'new_orleans.mp4', 'up_kevin_social.mp4', 'hand_tools.mp4', 'mountain_song.mp4', 'beachsong.mp4']",14.809078117590934
13,13.0,"['bedtime.mp4', 'pingu.mp4', 'moana.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'despicable_me.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",13.118864502203394
14,14.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'moana.mp4', 'tayo_bus.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'piper.mp4', 'new_orleans.mp4', 'wallace_gromit.mp4', 'up_kevin_social.mp4', 'hand_tools.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",11.993602411441703
