,iteration,movies,zstat
0,0.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'pingu.mp4', 'kids_kitchen.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'playground.mp4', 'brother_bear.mp4']",12.221923405194717
1,1.0,"['forest.mp4', 'pingu.mp4', 'moana.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'playground.mp4', 'our_planet.mp4', 'dog.mp4']",12.010787658660762
2,2.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'pingu.mp4', 'moana.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'our_planet.mp4']",12.551758799260082
3,3.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'pingu.mp4', 'kids_kitchen.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'our_planet.mp4']",10.914391121935266
4,4.0,"['bedtime.mp4', 'pingu.mp4', 'kids_kitchen.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'playground.mp4', 'our_planet.mp4', 'dog.mp4']",10.355049447605595
5,5.0,"['bedtime.mp4', 'forest.mp4', 'moana.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'playground.mp4', 'brother_bear.mp4']",11.429097847400008
6,6.0,"['forest.mp4', 'pingu.mp4', 'moana.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'brother_bear.mp4']",12.39697285201788
7,7.0,"['bedtime.mp4', 'forest.mp4', 'pingu.mp4', 'kids_kitchen.mp4', 'ratatouille.mp4', 'new_orleans.mp4', 'playground.mp4', 'brother_bear.mp4']",11.563314572518617
8,8.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'pingu.mp4', 'ratatouille.mp4', 'new_orleans.mp4', 'playground.mp4', 'dog.mp4', 'piper.mp4']",10.229125413209916
9,9.0,"['bedtime.mp4', 'forest.mp4', 'kids_kitchen.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'playground.mp4', 'brother_bear.mp4']",8.975843417189783
10,10.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'moana.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'dog.mp4']",8.753182052400517
11,11.0,"['bedtime.mp4', 'pingu.mp4', 'kids_kitchen.mp4', 'new_orleans.mp4', 'brother_bear.mp4', 'our_planet.mp4', 'dog.mp4', 'piper.mp4']",11.890046550591507
12,12.0,"['forest.mp4', 'kids_kitchen.mp4', 'moana.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'our_planet.mp4']",11.487529492347688
13,13.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'kids_kitchen.mp4', 'ratatouille.mp4', 'bathsong.mp4', 'brother_bear.mp4', 'our_planet.mp4']",10.254490639665155
14,14.0,"['pingu.mp4', 'moana.mp4', 'minions_supermarket.mp4', 'new_orleans.mp4', 'playground.mp4', 'brother_bear.mp4', 'our_planet.mp4', 'dog.mp4']",10.363118701061026
15,15.0,"['bedtime.mp4', 'forest.mp4', 'moana.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'bathsong.mp4', 'brother_bear.mp4', 'dog.mp4']",11.951747604449293
16,16.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'brother_bear.mp4', 'dog.mp4', 'piper.mp4']",10.31320999052543
17,17.0,"['bedtime.mp4', 'forest.mp4', 'pingu.mp4', 'bathsong.mp4', 'playground.mp4', 'brother_bear.mp4', 'dog.mp4', 'piper.mp4']",11.430117034006239
18,18.0,"['bedtime.mp4', 'kids_kitchen.mp4', 'moana.mp4', 'real_cars.mp4', 'bathsong.mp4', 'playground.mp4', 'brother_bear.mp4', 'our_planet.mp4']",11.598365251477496
19,19.0,"['rio_jungle_jig.mp4', 'pingu.mp4', 'kids_kitchen.mp4', 'moana.mp4', 'new_orleans.mp4', 'our_planet.mp4', 'dog.mp4', 'piper.mp4']",10.552293675414544
20,20.0,"['pingu.mp4', 'moana.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'playground.mp4', 'brother_bear.mp4']",9.220151104998283
21,21.0,"['bedtime.mp4', 'pingu.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'playground.mp4', 'brother_bear.mp4', 'our_planet.mp4']",10.956842972430351
22,22.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'pingu.mp4', 'kids_kitchen.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'bathsong.mp4', 'new_orleans.mp4']",11.644374283736553
23,23.0,"['bedtime.mp4', 'forest.mp4', 'pingu.mp4', 'moana.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'playground.mp4']",12.912352414321841
24,24.0,"['pingu.mp4', 'moana.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'our_planet.mp4', 'dog.mp4']",10.192301020497919
25,25.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'playground.mp4', 'piper.mp4']",12.40173438348469
26,26.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'moana.mp4', 'new_orleans.mp4', 'playground.mp4', 'brother_bear.mp4', 'dog.mp4']",12.611371756091083
