,iteration,movies,zstat
0,0.0,"['rio_jungle_jig.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'supermarket.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'mountain_song.mp4', 'beachsong.mp4']",1.8143636066893511
1,1.0,"['walle.mp4', 'bedtime.mp4', 'forest.mp4', 'cars.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'bathsong.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'hand_tools.mp4', 'dalmations.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4', 'beachsong.mp4']",1.3702768412448156
2,2.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'moana.mp4', 'cars.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'supermarket.mp4', 'our_planet.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.524789384337848
3,3.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'moana.mp4', 'tayo_bus.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'bathsong.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'hand_tools.mp4', 'dalmations.mp4', 'mountain_song.mp4', 'beachsong.mp4']",1.6254906423176354
4,4.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'moana.mp4', 'cars.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'bathsong.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'beachsong.mp4']",1.4332699055550544
5,5.0,"['walle.mp4', 'bedtime.mp4', 'pingu.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.6950636041950116
6,6.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'cars.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'despicable_me.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.5239792616349181
7,7.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'moana.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'wallace_gromit.mp4', 'up_kevin_nonsocial.mp4', 'our_planet.mp4', 'funny_tools.mp4', 'hand_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.4802195305809507
8,8.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'our_planet.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.6438429948941076
9,9.0,"['walle.mp4', 'forest.mp4', 'cars.mp4', 'tayo_bus.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'beachsong.mp4']",1.6775045277991272
10,10.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'pingu.mp4', 'moana.mp4', 'cars.mp4', 'tayo_bus.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'beachsong.mp4']",1.4843773689899906
11,11.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'cars.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'piper.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'our_planet.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'mountain_song.mp4', 'beachsong.mp4']",1.4895111518320858
12,12.0,"['bedtime.mp4', 'forest.mp4', 'cars.mp4', 'tayo_bus.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'supermarket.mp4', 'our_planet.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4']",1.1283715370947194
13,13.0,"['bedtime.mp4', 'cars.mp4', 'tayo_bus.mp4', 'ratatouille.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'beachsong.mp4']",1.6901996677779743
14,14.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'moana.mp4', 'cars.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'beachsong.mp4']",1.9279710675418922
15,15.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'pingu.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'piper.mp4', 'real_cars.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'wallace_gromit.mp4', 'up_kevin_nonsocial.mp4', 'dalmations.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.391419980631313
16,16.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'moana.mp4', 'ratatouille.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'hand_tools.mp4', 'dalmations.mp4', 'beachsong.mp4']",1.477457696331857
17,17.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'ratatouille.mp4', 'piper.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'beachsong.mp4']",1.6883554757554384
18,18.0,"['walle.mp4', 'moana.mp4', 'cars.mp4', 'ratatouille.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'wallace_gromit.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.2768766478453752
19,19.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'cars.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'new_orleans.mp4', 'wallace_gromit.mp4', 'our_planet.mp4', 'funny_tools.mp4', 'despicable_me.mp4', 'steamed_buns.mp4', 'beachsong.mp4']",1.420569282152232
20,20.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'moana.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'up_kevin_social.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.7231391691850544
21,21.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'breakfast_smoothie.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'despicable_me.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'beachsong.mp4']",1.8309264931236389
22,22.0,"['bedtime.mp4', 'forest.mp4', 'pingu.mp4', 'moana.mp4', 'tayo_bus.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'our_planet.mp4', 'funny_tools.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.4048807465798314
23,23.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'funny_tools.mp4', 'despicable_me.mp4', 'dalmations.mp4', 'beachsong.mp4']",1.5859568443492753
24,24.0,"['walle.mp4', 'bedtime.mp4', 'pingu.mp4', 'cars.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.6386293637490859
25,25.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'moana.mp4', 'cars.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'wallace_gromit.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'beachsong.mp4']",1.5537074413320897
26,26.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'cars.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.635002606355041
27,27.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'tayo_bus.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'supermarket.mp4', 'our_planet.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'hand_tools.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.214272324932804
28,28.0,"['bedtime.mp4', 'moana.mp4', 'cars.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'real_cars.mp4', 'bathsong.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'up_kevin_social.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4', 'beachsong.mp4']",1.5105365929523062
29,29.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'moana.mp4', 'tayo_bus.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'our_planet.mp4', 'dalmations.mp4', 'beachsong.mp4']",1.6034050216665283
30,30.0,"['walle.mp4', 'bedtime.mp4', 'forest.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'our_planet.mp4', 'funny_tools.mp4', 'hand_tools.mp4', 'dalmations.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.5647400825131847
31,31.0,"['walle.mp4', 'forest.mp4', 'tayo_bus.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'piper.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'wallace_gromit.mp4', 'up_kevin_nonsocial.mp4', 'our_planet.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.52911173543682
32,32.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'breakfast_smoothie.mp4', 'wallace_gromit.mp4', 'up_kevin_nonsocial.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'beachsong.mp4']",1.710659183194517
33,33.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'moana.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'supermarket.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'beachsong.mp4']",1.587321571403043
34,34.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'moana.mp4', 'tayo_bus.mp4', 'ratatouille.mp4', 'piper.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'mountain_song.mp4', 'beachsong.mp4']",1.578490319938197
35,35.0,"['walle.mp4', 'bedtime.mp4', 'moana.mp4', 'tayo_bus.mp4', 'ratatouille.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'dalmations.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4', 'beachsong.mp4']",1.5052232499648817
36,36.0,"['bedtime.mp4', 'pingu.mp4', 'cars.mp4', 'tayo_bus.mp4', 'ratatouille.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'up_kevin_nonsocial.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4', 'beachsong.mp4']",1.2905994496330677
37,37.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'pingu.mp4', 'moana.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'up_kevin_nonsocial.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'beachsong.mp4']",1.708238368327322
38,38.0,"['rio_jungle_jig.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'our_planet.mp4', 'funny_tools.mp4', 'despicable_me.mp4', 'dalmations.mp4', 'beachsong.mp4']",1.6220531314893558
39,39.0,"['walle.mp4', 'bedtime.mp4', 'forest.mp4', 'moana.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'up_kevin_social.mp4', 'dalmations.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4', 'beachsong.mp4']",1.1592218137277392
40,40.0,"['walle.mp4', 'bedtime.mp4', 'moana.mp4', 'cars.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'bathsong.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'our_planet.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'despicable_me.mp4', 'dalmations.mp4']",1.5271235944847157
41,41.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'cars.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'incredibles.mp4', 'real_cars.mp4', 'up_kevin_nonsocial.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.55768079534302
42,42.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'moana.mp4', 'cars.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'beachsong.mp4']",1.3422795787025272
43,43.0,"['walle.mp4', 'cars.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'despicable_me.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'beachsong.mp4']",1.7938289815639368
44,44.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'pingu.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'breakfast_smoothie.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'dalmations.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4', 'beachsong.mp4']",1.417647240698076
45,45.0,"['walle.mp4', 'rio_jungle_jig.mp4', 'forest.mp4', 'moana.mp4', 'cars.mp4', 'ratatouille.mp4', 'piper.mp4', 'minions_supermarket.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'up_kevin_social.mp4', 'funny_tools.mp4', 'hand_tools.mp4', 'steamed_buns.mp4', 'beachsong.mp4']",1.6204836987590319
46,46.0,"['rio_jungle_jig.mp4', 'moana.mp4', 'tayo_bus.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'breakfast_smoothie.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'despicable_me.mp4', 'dalmations.mp4', 'beachsong.mp4']",1.3616916192597546
47,47.0,"['walle.mp4', 'bedtime.mp4', 'forest.mp4', 'cars.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'wallace_gromit.mp4', 'supermarket.mp4', 'funny_tools.mp4', 'despicable_me.mp4', 'dalmations.mp4', 'steamed_buns.mp4', 'cartoon_cars.mp4', 'mountain_song.mp4', 'beachsong.mp4']",1.7553816095282055
48,48.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'tayo_bus.mp4', 'up_russell.mp4', 'ratatouille.mp4', 'piper.mp4', 'real_cars.mp4', 'up_kevin_nonsocial.mp4', 'supermarket.mp4', 'our_planet.mp4', 'funny_tools.mp4', 'hand_tools.mp4', 'dalmations.mp4', 'beachsong.mp4']",1.5663003023766333
