bathsong.mp4,beachsong.mp4,bedtime.mp4,brother_bear.mp4,dog.mp4,forest.mp4,kids_kitchen.mp4,minions_supermarket.mp4,moana.mp4,new_orleans.mp4,our_planet.mp4,pingu.mp4,playground.mp4,ratatouille.mp4,real_cars.mp4,rio_jungle_jig.mp4,up_kevin_nonsocial.mp4,up_kevin_social.mp4
1760707.38674758,1246031.27415251,1655392.40886088,1603236.78979139,3829870.9871373,6325506.62915128,1702708.28683791,2500259.76221619,1119474.3621548,2546171.45314546,1264655.73782289,1569071.40958799,4019922.76115382,2600199.44359953,2061983.60897546,1300593.21721628,1730621.83003191,2517338.87318763
1774769.00235559,736101.165019378,1652163.70295845,1545980.1996832,3523249.18933338,6034008.17098102,1860894.89580097,2351540.7353019,1834490.03206976,2429010.65132536,1243564.0283952,1074751.03686193,3895570.26824359,3565326.13019701,2012284.42362007,1428073.79967124,1268300.03928378,2127874.33159792
1943548.39765325,1086148.47162826,1670868.06470576,1385948.28750786,2615672.66788257,5028842.50973864,2115879.77986599,1837856.70300348,2467866.39236861,2482527.16783139,1186774.47311405,1284143.37540071,3378824.14308919,3752742.33477544,1950208.06649284,1450004.58861076,1762446.85695598,1951495.36830299
2271322.59423371,1882893.19322291,1713503.69990713,1452420.73084992,2104372.21501953,4680726.16212049,1959482.91005775,1703020.09161102,2698241.53766261,2500160.25776154,1134328.51894104,1637769.40255726,3224603.0016124,2798328.89608821,1930947.95516431,1544912.11387873,2002747.4521387,2000115.98487053
2313015.61531555,2204181.58366681,1545261.85509287,1383290.1327625,2270725.64482746,4771067.10920764,1232910.59850111,2134679.36759242,2705602.62516415,2716478.37148964,1144714.64116935,1552759.84947402,2738388.25450437,1693354.95084073,1971371.319086,1520844.86026445,1681163.87024028,2196250.87076396
2204450.35420738,2067961.745322,1357069.0566364,1177365.66366082,2128870.94803588,5625344.29694184,1165572.09410496,2403719.41685555,2687221.08805925,2790298.25592409,1172155.64997962,1440189.57098678,2324515.98842894,1945969.5463524,2091628.95857993,1513656.07100109,1499689.62721828,2251679.35739865
2090570.88377263,2513591.30969286,1321882.6822417,1031281.00038555,1911426.8459557,6345987.3409282,1562079.96008613,2371896.66868598,2580513.42928891,2570339.53128715,2392237.87862318,1783899.38741884,2283975.90585639,2213478.22687201,1905305.36461727,1561095.04642334,1658577.59687749,2213504.78247615
2046672.95066484,2982751.80887098,1391227.93067715,1052638.02522932,2201170.73112314,6262598.01823791,1589823.59671006,3174481.9204093,2436716.27177039,1964101.75132341,3217860.54834372,2220237.51939382,2052476.42170694,1707535.19278424,1396208.56629298,1865830.57780989,1693644.88176219,2062298.44675136
2056858.88106375,3270700.87376814,1664741.15783061,1412374.83498405,2155717.66916854,6397684.08690474,1515354.41698854,3626839.79057145,2336132.84204591,1809054.1304104,3414703.01083469,2178395.08778798,2124885.39835637,932600.872029868,1354754.18865251,1956109.9171847,1717000.76891086,2011232.784551
2063504.91231201,3320896.9814817,1957808.33689212,1544905.04964313,2201499.98529663,5759050.8035208,1560947.63585351,3266459.89060633,2064350.25106483,1848147.9581498,3361387.91017479,1432686.3877425,2180997.5373433,1447720.05254096,1427010.34907989,1889909.19841987,1553303.50200773,2084322.14869278
