faces		0.16	1.43	1.27	
faces		5.92	8.64	2.72	
faces		12.22	15.32	3.1	
faces		18.33	22.322	3.992	
body_parts		0.16	1.42	1.26	
body_parts		5.91	22.32	16.41	
scene		0.16	22.324	22.164	
tools		8.64	12.16	3.52	
tools		12.76	15.28	2.52	
animate		0.16	1.4	1.24	
animate		5.88	22.324	16.444	
inanimate_big		0.16	15.32	15.16	
inanimate_small		0.16	1.4	1.24	
inanimate_small		8.64	12.16	3.52	
inanimate_small		15.36	22.324	6.964	
social		5.88	14.52	8.64	
non_social		0.16	5.884	5.724	
non_social		14.524	22.324	7.8	
biological		0.16	1.44	1.28	
biological		5.92	22.324	16.404	
non_biological		1.42	5.86	4.44	
civilisation		0.16	22.324	22.164	
closed		5.88	22.324	16.444	
open		0.16	5.84	5.68	
near		0.16	1.413	1.253	
near		5.893	8.64	2.747	
near		12.2	22.31	10.11	
far		1.431	5.862	4.431	
far		8.64	12.155	3.515	
inside		5.879	22.324	16.445	
outside		0.16	5.879	5.719	
scene_change		1.431	1.448	0.017	
scene_change		5.888	5.905	0.017	
camera_cut		1.4	1.44	0.04	
camera_cut		5.88	5.897	0.017	
camera_cut		8.621	8.64	0.019	
camera_cut		12.183	12.2	0.017	
camera_cut		15.314	15.331	0.017	
biological_motion		5.914	22.324	16.41	
salient_near_towards		14.96	15.306	0.346	
tool_use		8.64	12.16	3.52	
tool_use		12.76	15.28	2.52	
