faces		0.16	12.318	12.158	
faces		13.71	18.724	5.014	
faces		19.246	22.323	3.077	
body_parts		0.16	22.324	22.164	
scene		0.16	12.318	12.158	
scene		13.666	22.324	8.658	
animate		0.16	12.289	12.129	
animate		13.666	22.322	8.656	
inanimate_big		0.16	22.324	22.164	
social		0.16	4.463	4.303	
social		7.014	11.217	4.203	
social		15.159	18.971	3.812	
social		21.115	22.324	1.209	
non_social		4.434	7.043	2.609	
non_social		11.24	15.115	3.875	
non_social		19.014	21.101	2.087	
biological		0.16	22.319	22.159	
non_biological		0.16	22.324	22.164	
civilisation		0.16	22.324	22.164	
open		0.16	12.318	12.158	
open		13.695	22.324	8.629	
near		0.16	12.289	12.129	
near		13.68	22.324	8.644	
outside		0.16	22.324	22.164	
camera_cut		2.623	2.64	0.017	
camera_cut		7.033	7.05	0.017	
camera_cut		11.239	11.263	0.024	
camera_cut		12.36	12.373	0.013	
camera_cut		13.681	13.692	0.011	
camera_cut		15.082	15.091	0.009	
camera_cut		19.237	19.246	0.009	
biological_motion		1.797	2.382	0.585	
biological_motion		2.679	3.533	0.854	
biological_motion		5.749	6.888	1.139	
biological_motion		8.679	12.168	3.489	
biological_motion		14.443	15.78	1.337	
biological_motion		18.313	22.324	4.011	
