faces		4.94	9.596	4.656	
faces		13.928	15.76	1.832	
faces		16.427	17.969	1.542	
faces		18.064	19.572	1.508	
faces		19.947	20.547	0.6	
faces		21.366	22.332	0.966	
body_parts		0.16	22.321	22.161	
scene		0.17	20.67	20.5	
scene		21.376	22.324	0.948	
animate		2.871	20.73	17.859	
animate		21.4	22.332	0.932	
inanimate_big		0.16	0.878	0.718	
inanimate_big		9.6	12.8	3.2	
inanimate_big		16.128	20.24	4.112	
inanimate_big		21.41	22.327	0.917	
inanimate_small		0.16	2.82	2.66	
social		9.6	20.753	11.153	
social		21.213	21.533	0.32	
non_social		0.16	9.59	9.43	
non_social		20.75	21.2	0.45	
non_social		21.55	22.324	0.774	
biological		0.16	20.735	20.575	
biological		21.175	22.334	1.159	
non_biological		20.73	21.17	0.44	
nature		0.16	22.324	22.164	
closed		0.82	9.57	8.75	
closed		12.804	16.116	3.312	
open		0.16	0.8	0.64	
open		9.6	12.794	3.194	
open		16.126	20.657	4.531	
open		21.385	22.331	0.946	
near		0.16	9.585	9.425	
near		12.8	16.122	3.322	
near		19.899	20.657	0.758	
near		21.371	21.857	0.486	
far		9.605	12.79	3.185	
far		16.122	19.889	3.767	
far		21.763	22.323	0.56	
inside		1.488	9.587	8.099	
inside		12.806	16.117	3.311	
outside		0.16	1.478	1.318	
outside		9.607	12.796	3.189	
outside		16.137	22.321	6.184	
camera_cut		9.599	9.609	0.01	
camera_cut		12.79	12.8	0.01	
camera_cut		16.119	16.129	0.01	
biological_motion		4.953	22.321	17.368	
salient_near_towards		8.468	9.562	1.094	
salient_near_towards		19.914	20.656	0.742	
salient_near_away		16.436	17.604	1.168	
salient_near_away		18.145	19.485	1.34	
salient_near_away		21.2	21.878	0.678	
