faces		0.562	3.234	2.672	
faces		15.76	22.328	6.568	
body_parts		0.16	22.332	22.172	
scene		0.602	22.326	21.724	
animate		0.602	22.324	21.722	
inanimate_big		4.283	22.324	18.041	
inanimate_small		15.76	22.32	6.56	
non_social		0.16	22.324	22.164	
biological		0.16	22.324	22.164	
nature		0.16	22.324	22.164	
closed		0.617	22.333	21.716	
near		0.617	9.61	8.993	
near		15.76	22.326	6.566	
far		9.613	15.662	6.049	
outside		0.16	22.324	22.164	
camera_cut		0.553	0.563	0.01	
camera_cut		3.235	3.245	0.01	
camera_cut		9.591	9.601	0.01	
camera_cut		15.662	15.76	0.098	
biological_motion		4.464	5.621	1.157	
biological_motion		6.067	12.094	6.027	
biological_motion		12.094	12.109	0.015	
biological_motion		15.783	16.77	0.987	
biological_motion		21.854	22.322	0.468	
salient_near_away		5.971	9.609	3.638	
