faces		0.0	1.27	1.27	
faces		6.05	8.45	2.4	
faces		12.05	14.06	2.01	
faces		18.14	22.524	4.384	
body_parts		0.0	1.25	1.25	
body_parts		6.047	22.524	16.477	
scene		0.0	22.524	22.524	
tools		8.481	12.047	3.566	
tools		12.597	15.141	2.544	
animate		0.0	22.524	22.524	
inanimate_big		0.0	8.47	8.47	
inanimate_big		12.047	15.157	3.11	
inanimate_small		0.0	1.256	1.256	
inanimate_small		8.481	12.031	3.55	
inanimate_small		12.549	22.524	9.975	
social		5.78	8.466	2.686	
social		12.078	14.34	2.262	
non_social		0.0	5.795	5.795	
non_social		8.505	12.078	3.573	
non_social		14.34	22.524	8.184	
biological		0.0	1.24	1.24	
biological		8.544	12.0	3.456	
non_biological		0.0	22.524	22.524	
civilisation		0.0	22.524	22.524	
closed		8.494	12.05	3.556	
closed		15.162	22.524	7.362	
open		0.0	8.46	8.46	
open		12.04	15.14	3.1	
near		0.0	1.27	1.27	
near		5.72	8.44	2.72	
near		12.05	22.524	10.474	
far		1.312	5.693	4.381	
far		8.481	12.031	3.55	
inside		8.466	11.984	3.518	
inside		15.173	22.524	7.351	
outside		0.0	8.47	8.47	
outside		12.06	15.14	3.08	
scene_change		1.246	1.286	0.04	
scene_change		5.699	5.739	0.04	
camera_cut		1.25	1.29	0.04	
camera_cut		5.7	5.74	0.04	
camera_cut		8.45	8.489	0.039	
camera_cut		12.017	12.056	0.039	
camera_cut		15.132	15.171	0.039	
biological_motion		6.132	22.524	16.392	
salient_near_towards		12.364	15.132	2.768	
