faces		0.16	7.163	7.003	
faces		7.203	22.328	15.125	
body_parts		0.16	22.325	22.165	
scene		0.16	6.932	6.772	
scene		9.16	22.319	13.159	
animate		0.16	22.325	22.165	
inanimate_big		12.688	18.324	5.636	
inanimate_small		0.16	1.194	1.034	
inanimate_small		4.164	6.924	2.76	
inanimate_small		10.324	22.324	12.0	
social		0.16	6.46	6.3	
social		8.86	18.32	9.46	
social		21.36	22.321	0.961	
non_social		6.455	8.86	2.405	
non_social		18.32	21.348	3.028	
biological		0.16	22.323	22.163	
non_biological		0.16	22.326	22.166	
civilisation		0.16	22.324	22.164	
closed		0.16	6.94	6.78	
closed		9.15	22.328	13.178	
near		0.16	6.955	6.795	
near		9.17	12.76	3.59	
near		18.32	22.333	4.013	
far		12.76	18.32	5.56	
inside		0.16	22.324	22.164	
camera_cut		1.19	1.2	0.01	
camera_cut		4.15	4.16	0.01	
camera_cut		6.95	6.96	0.01	
camera_cut		12.67	12.76	0.09	
camera_cut		18.22	18.28	0.06	
camera_cut		21.354	21.364	0.01	
biological_motion		0.16	16.2	16.04	
biological_motion		17.02	19.35	2.33	
biological_motion		20.47	22.319	1.849	
salient_near_towards		1.83	2.6	0.77	
