scene		0.16	7.876	7.716	
scene		7.876	12.35	4.474	
scene		15.344	22.319	6.975	
tools		12.374	15.343	2.969	
animate		0.16	22.32	22.16	
inanimate_big		0.16	12.251	12.091	
inanimate_big		15.291	22.327	7.036	
non_social		0.16	4.055	3.895	
non_social		4.055	12.4	8.345	
non_social		12.44	22.326	9.886	
non_biological		0.16	22.324	22.164	
civilisation		0.16	22.324	22.164	
closed		4.426	7.631	3.205	
closed		15.527	19.687	4.16	
open		0.16	4.42	4.26	
open		7.635	15.51	7.875	
open		19.7	22.324	2.624	
near		15.518	19.57	4.052	
far		0.16	12.438	12.278	
far		19.57	22.326	2.756	
outside		0.16	22.324	22.164	
scene_change		4.36	4.37	0.01	
camera_cut		4.35	4.36	0.01	
camera_cut		7.76	7.77	0.01	
camera_cut		12.429	12.439	0.01	
camera_cut		15.511	15.521	0.01	
