faces		0.16	22.332	22.172	
body_parts		0.16	22.326	22.166	
scene		0.16	12.56	12.4	
scene		14.16	22.324	8.164	
tools		8.131	12.56	4.429	
tools		21.367	22.321	0.954	
animate		0.16	22.324	22.164	
inanimate_big		6.79	7.582	0.792	
inanimate_small		8.122	12.915	4.793	
inanimate_small		21.282	22.33	1.048	
social		0.16	22.322	22.162	
biological		0.16	22.324	22.164	
non_biological		6.787	7.586	0.799	
non_biological		8.105	12.92	4.815	
non_biological		21.289	22.334	1.045	
civilisation		0.16	12.56	12.4	
civilisation		14.17	22.31	8.14	
closed		0.16	12.56	12.4	
closed		14.173	22.326	8.153	
near		0.16	4.79	4.63	
near		14.16	21.257	7.097	
far		4.8	12.56	7.76	
far		21.29	22.323	1.033	
outside		0.16	22.324	22.164	
camera_cut		4.791	4.801	0.01	
camera_cut		7.591	7.601	0.01	
camera_cut		12.56	12.57	0.01	
camera_cut		14.16	14.17	0.01	
camera_cut		18.192	18.202	0.01	
camera_cut		21.273	21.283	0.01	
biological_motion		0.16	22.32	22.16	
salient_near_towards		4.14	4.95	0.81	
salient_near_towards		7.79	9.39	1.6	
