faces		0.0	22.329	22.329	
scene		0.16	22.331	22.171	
tools		0.16	22.324	22.164	
animate		0.16	22.323	22.163	
inanimate_big		0.16	22.32	22.16	
inanimate_small		3.16	22.332	19.172	
social		0.16	2.574	2.414	
social		3.474	11.56	8.086	
non_social		2.59	3.46	0.87	
non_social		11.57	22.324	10.754	
biological		0.16	22.33	22.17	
non_biological		0.16	22.324	22.164	
civilisation		0.16	22.324	22.164	
open		0.16	22.324	22.164	
near		0.775	3.16	2.385	
near		19.205	22.331	3.126	
far		0.16	0.75	0.59	
far		3.19	19.19	16.0	
outside		0.16	22.324	22.164	
camera_cut		0.753	0.763	0.01	
camera_cut		3.16	3.17	0.01	
camera_cut		6.16	6.17	0.01	
camera_cut		11.56	11.57	0.01	
camera_cut		15.192	15.202	0.01	
camera_cut		19.193	19.203	0.01	
salient_near_towards		0.84	1.21	0.37	
salient_near_towards		1.67	2.03	0.36	
salient_near_away		1.2	1.67	0.47	
salient_near_away		2.04	2.47	0.43	
