faces		0.16	2.68	2.52	
faces		6.247	9.278	3.031	
faces		12.159	20.404	8.245	
body_parts		0.16	22.332	22.172	
scene		0.16	22.33	22.17	
tools		2.68	6.175	3.495	
tools		6.775	9.295	2.52	
animate		0.16	22.321	22.161	
inanimate_big		0.16	9.3	9.14	
inanimate_small		2.68	6.185	3.505	
inanimate_small		9.324	22.324	13.0	
social		6.24	8.201	1.961	
non_social		0.16	6.22	6.06	
non_social		8.21	22.328	14.118	
biological		0.16	22.324	22.164	
non_biological		0.16	22.324	22.164	
civilisation		0.16	22.324	22.164	
closed		0.16	22.324	22.164	
near		9.323	20.38	11.057	
far		0.16	9.314	9.154	
far		20.399	22.319	1.92	
inside		0.16	22.324	22.164	
camera_cut		2.68	2.69	0.01	
camera_cut		6.236	6.246	0.01	
camera_cut		9.318	9.328	0.01	
biological_motion		0.16	17.41	17.25	
salient_near_towards		7.56	9.27	1.71	
salient_near_towards		20.31	20.47	0.16	
salient_near_away		20.349	20.609	0.26	
