faces		0.16	13.714	13.554	
faces		17.684	22.32	4.636	
body_parts		0.16	13.712	13.552	
body_parts		17.692	22.33	4.638	
scene		0.16	13.705	13.545	
scene		17.68	22.324	4.644	
tools		0.16	13.715	13.555	
tools		17.69	22.325	4.635	
animate		0.16	13.72	13.56	
animate		17.7	22.324	4.624	
inanimate_big		0.16	13.71	13.55	
inanimate_big		17.704	22.32	4.616	
inanimate_small		0.16	22.324	22.164	
social		0.16	0.832	0.672	
social		4.16	7.36	3.2	
social		10.873	13.713	2.84	
social		17.71	22.331	4.621	
non_social		0.84	4.16	3.32	
non_social		7.37	10.86	3.49	
non_social		13.72	17.69	3.97	
biological		0.16	13.711	13.551	
biological		17.71	22.324	4.614	
non_biological		0.16	22.319	22.159	
civilisation		0.16	22.32	22.16	
closed		0.16	13.71	13.55	
closed		17.72	22.324	4.604	
near		0.84	10.913	10.073	
near		17.68	22.333	4.653	
far		0.16	0.83	0.67	
far		10.933	13.713	2.78	
inside		0.16	22.324	22.164	
camera_cut		0.836	0.846	0.01	
camera_cut		4.16	4.17	0.01	
camera_cut		7.36	7.37	0.01	
camera_cut		13.718	13.728	0.01	
camera_cut		17.675	17.685	0.01	
biological_motion		0.16	13.701	13.541	
biological_motion		17.686	22.32	4.634	
