faces		0.16	13.675	13.515	
faces		21.92	22.321	0.401	
body_parts		0.16	13.676	13.516	
body_parts		13.916	22.321	8.405	
scene		0.16	22.322	22.162	
tools		8.892	11.224	2.332	
animate		0.16	13.674	13.514	
animate		13.903	22.324	8.421	
inanimate_big		15.755	21.925	6.17	
inanimate_small		1.72	4.914	3.194	
inanimate_small		6.508	7.369	0.861	
inanimate_small		8.889	11.23	2.341	
social		0.72	13.5	12.78	
social		14.01	21.919	7.909	
non_social		0.16	0.71	0.55	
non_social		13.52	14.01	0.49	
non_social		21.929	22.324	0.395	
biological		0.16	22.324	22.164	
non_biological		8.89	11.22	2.33	
nature		0.16	22.324	22.164	
closed		0.16	13.67	13.51	
closed		21.968	22.324	0.356	
open		13.68	21.958	8.278	
near		0.16	0.71	0.55	
near		21.964	22.324	0.36	
far		0.72	21.954	21.234	
outside		0.16	22.324	22.164	
camera_cut		0.71	0.72	0.01	
camera_cut		13.672	13.682	0.01	
camera_cut		21.95	21.96	0.01	
biological_motion		0.16	22.319	22.159	
